"Hero","Name","Games","W","L","Win %","L","K","D","A","Tot. Gold","LH","Denies","GPM","XPM"
"abaddon","Abaddon","93","52","41","0.559","15.2","2.3","3.9","10.2","10175.2","53.8","2.3","250.7","329.6"
"alchemist","Alchemist","44","19","25","0.432","16.7","2.8","5.7","10.3","14490.5","116.0","3.2","371.3","411.9"
"ancient_apparition","Ancient Apparition","402","207","195","0.515","14.7","3.6","5.2","10.6","10688.5","56.9","4.2","245.5","288.8"
"antimage","Anti Mage","180","86","94","0.478","21.9","8.3","3.8","5.8","27729.8","383.8","20.9","648.6","636.4"
"axe","Axe","60","30","30","0.500","18.5","10.0","5.6","7.1","17743.8","181.6","3.7","457.0","499.0"
"bane","Bane","120","64","56","0.533","14.3","3.6","6.4","9.1","9488.7","30.4","3.5","228.4","283.8"
"batrider","Batrider","433","208","225","0.480","17.3","4.7","5.1","11.4","14463.0","149.7","1.7","355.6","418.3"
"beastmaster","Beastmaster","66","36","30","0.545","16.3","3.0","5.0","9.8","12883.8","108.3","3.6","318.6","379.2"
"bounty_hunter","Bounty Hunter","9","3","6","0.333","16.2","6.0","6.9","9.0","13716.1","65.4","1.6","308.7","337.1"
"brewmaster","Brewmaster","567","316","251","0.557","18.6","5.9","4.2","10.2","16161.4","151.2","10.4","400.5","482.8"
"bristleback","Bristleback","117","50","67","0.427","17.6","5.7","4.9","8.5","16787.4","190.5","10.3","442.2","455.5"
"broodmother","Broodmother","49","30","19","0.612","19.5","6.7","5.1","6.0","20090.9","228.7","3.9","523.8","562.8"
"centaur","Centaur Warrunner","544","248","296","0.456","17.3","4.6","5.7","10.2","14498.9","141.2","7.6","351.2","417.4"
"chaos_knight","Chaos Knight","9","1","8","0.111","15.8","5.1","4.6","6.6","14921.5","162.8","19.0","425.4","417.9"
"chen","Chen","10","6","4","0.600","13.9","3.1","3.5","8.1","12290.9","104.8","0.6","288.6","264.5"
"clinkz","Clinkz","53","22","31","0.415","20.3","8.5","4.9","5.7","21286.9","217.9","13.5","521.1","560.9"
"rattletrap","Clockwerk","138","70","68","0.507","16.5","5.4","6.3","12.0","13463.0","102.7","4.5","315.4","372.8"
"crystal_maiden","Crystal Maiden","90","51","39","0.567","15.6","3.2","6.0","13.3","11573.7","71.5","1.0","274.5","331.8"
"dark_seer","Dark Seer","56","19","37","0.339","17.8","4.2","6.2","10.5","16420.8","186.6","1.0","388.1","429.7"
"dazzle","Dazzle","168","81","87","0.482","13.7","1.8","5.4","7.0","9252.4","56.7","4.1","235.8","277.6"
"death_prophet","Death Prophet","434","227","207","0.523","20.1","7.1","4.6","9.2","21013.5","245.9","10.2","504.0","541.5"
"disruptor","Disruptor","199","94","105","0.472","13.8","3.1","6.1","11.7","8954.5","35.8","2.9","228.4","285.6"
"doom_bringer","Doom","240","113","127","0.471","18.5","5.0","5.4","10.5","19407.2","151.1","4.9","465.0","465.9"
"dragon_knight","Dragon Knight","77","36","41","0.468","18.3","5.2","5.2","9.0","16946.8","185.4","6.9","433.3","466.6"
"drow_ranger","Drow Ranger","111","63","48","0.568","19.0","5.7","4.5","6.4","20207.3","235.5","15.6","543.4","544.9"
"earthshaker","Earthshaker","380","168","212","0.442","15.1","3.4","6.1","12.6","10798.6","64.0","1.5","257.0","316.2"
"elder_titan","Elder Titan","372","203","169","0.546","16.2","3.0","5.2","13.7","12811.1","108.5","2.2","299.3","350.9"
"ember_spirit","Ember Spirit","372","187","185","0.503","20.1","8.5","4.6","10.7","21203.4","250.8","11.0","500.4","542.1"
"enchantress","Enchantress","36","19","17","0.528","14.1","3.6","4.5","7.9","11429.6","91.5","1.1","278.0","287.5"
"enigma","Enigma","195","116","79","0.595","17.3","3.0","4.9","11.8","15826.3","182.4","9.2","388.7","416.1"
"faceless_void","Faceless Void","437","213","224","0.487","19.0","6.5","4.8","8.5","18211.1","188.5","12.7","436.0","494.1"
"gyrocopter","Gyrocopter","95","45","50","0.474","19.8","7.0","4.7","8.7","23127.5","296.1","17.7","551.8","525.9"
"huskar","Huskar","17","10","7","0.588","18.4","9.1","6.8","8.1","18065.3","161.1","12.3","482.6","514.9"
"invoker","Invoker","246","127","119","0.516","19.0","7.2","4.5","9.9","19303.7","196.2","18.1","477.3","509.0"
"wisp","Io","278","152","126","0.547","14.7","2.9","6.8","11.4","9153.0","33.7","2.2","234.1","319.7"
"jakiro","Jakiro","590","301","289","0.510","15.9","3.2","6.0","10.7","12357.5","104.2","4.2","315.2","373.4"
"juggernaut","Juggernaut","38","23","15","0.605","18.2","7.1","4.8","8.9","17057.0","160.5","7.7","438.2","479.0"
"keeper_of_the_light","Keeper of the Light","26","15","11","0.577","15.8","2.5","5.5","7.7","13513.8","136.7","1.4","303.4","333.6"
"kunkka","Kunkka","20","8","12","0.400","17.0","3.4","6.0","9.6","14528.5","138.0","6.1","321.3","379.3"
"legion_commander","Legion Commander","230","111","119","0.483","18.3","5.5","5.8","8.8","16518.0","169.2","7.7","412.2","474.3"
"leshrac","Leshrac","51","17","34","0.333","16.8","5.1","7.0","10.2","15209.5","152.0","6.4","350.4","383.6"
"lich","Lich","186","81","105","0.435","14.9","3.5","5.7","9.2","9442.9","41.0","2.8","228.2","315.7"
"life_stealer","Lifestealer","66","32","34","0.485","19.8","7.7","4.3","7.7","20676.6","224.5","19.4","509.3","536.6"
"lina","Lina","41","13","28","0.317","16.0","5.9","6.2","8.0","13114.2","110.8","4.2","330.4","380.5"
"lion","Lion","130","67","63","0.515","14.4","3.6","7.0","9.3","9541.2","38.3","2.2","229.2","286.2"
"lone_druid","Lone Druid","22","13","9","0.591","18.4","4.9","4.0","8.4","19228.0","217.3","13.7","516.6","528.2"
"luna","Luna","42","21","21","0.500","18.5","6.5","4.5","8.1","19942.2","247.6","16.1","533.8","512.0"
"lycan","Lycan","232","120","112","0.517","19.3","6.0","3.8","6.4","21255.9","246.1","9.3","551.9","547.5"
"magnataur","Magnus","179","90","89","0.503","18.2","5.0","4.8","9.9","14909.0","146.3","5.5","368.4","459.4"
"medusa","Medusa","189","111","78","0.587","20.9","6.2","3.3","7.9","25770.5","350.0","17.9","606.9","584.1"
"meepo","Meepo","45","17","28","0.378","22.4","8.7","7.7","6.5","22812.9","297.1","4.0","571.8","721.6"
"mirana","Mirana","329","187","142","0.568","16.6","5.0","4.6","10.6","14220.4","119.7","6.4","338.9","381.8"
"morphling","Morphling","201","103","98","0.512","20.6","8.4","3.2","6.1","24294.6","297.3","20.1","580.2","576.9"
"naga_siren","Naga Siren","241","135","106","0.560","18.8","5.0","3.6","8.9","25550.8","399.0","5.6","571.3","457.6"
"furion","Natures Prophet","314","149","165","0.475","18.6","5.6","6.0","11.7","19710.6","243.6","5.8","486.3","485.2"
"necrolyte","Necrophos","178","103","75","0.579","18.8","7.9","5.0","10.3","19382.4","226.0","15.4","489.9","503.2"
"night_stalker","Night Stalker","14","6","8","0.429","19.0","5.5","5.4","9.2","18092.7","171.9","6.4","393.6","441.8"
"nyx_assassin","Nyx Assassin","87","36","51","0.414","16.0","3.7","7.1","10.8","11208.3","67.6","4.3","268.8","350.9"
"ogre_magi","Ogre Magi","877","427","450","0.487","14.9","3.5","5.6","10.9","9831.0","45.4","2.4","243.5","320.3"
"omniknight","Omniknight","103","69","34","0.670","15.5","2.1","4.7","6.1","10675.5","71.7","3.9","275.7","355.5"
"obsidian_destroyer","Outworld Devourer","34","15","19","0.441","19.6","6.9","6.1","5.9","21194.4","237.2","33.8","502.0","517.5"
"phantom_assassin","Phantom Assassin","199","104","95","0.523","20.4","9.7","4.7","8.3","22467.2","249.0","13.3","543.6","568.2"
"phoenix","Phoenix","40","18","22","0.450","17.2","5.0","6.9","11.9","13050.9","91.6","3.7","303.2","383.6"
"puck","Puck","509","262","247","0.515","18.9","6.2","5.0","11.1","16855.6","171.5","10.9","413.9","496.4"
"pudge","Pudge","18","9","9","0.500","16.7","7.1","6.9","9.8","13296.1","86.2","5.7","316.9","380.8"
"pugna","Pugna","28","11","17","0.393","16.0","3.9","6.4","8.5","15507.0","167.9","8.5","395.0","373.8"
"queenofpain","Queen of Pain","61","22","39","0.361","19.6","9.5","5.0","8.2","19838.6","218.9","14.9","497.9","544.7"
"razor","Razor","460","205","255","0.446","19.1","6.1","5.1","8.8","19514.6","228.9","18.3","462.4","493.0"
"riki","Riki","14","8","6","0.571","19.9","9.8","6.9","7.9","18953.3","162.6","7.8","438.6","513.5"
"rubick","Rubick","287","135","152","0.470","14.3","3.0","6.6","10.6","10060.9","55.9","2.6","245.4","294.3"
"sand_king","Sand King","253","116","137","0.458","16.8","3.9","6.0","12.1","12673.4","105.1","0.8","300.6","379.4"
"shadow_demon","Shadow Demon","174","80","94","0.460","13.1","2.6","6.3","10.0","8791.4","37.8","2.4","216.6","246.3"
"nevermore","Shadow Fiend","62","33","29","0.532","19.8","7.2","4.5","7.2","22381.6","287.8","17.4","594.7","576.7"
"shadow_shaman","Shadow Shaman","71","35","36","0.493","14.3","3.7","7.7","9.2","11760.3","79.5","2.9","293.7","300.4"
"silencer","Silencer","111","49","62","0.441","15.0","3.6","5.4","8.1","11889.2","89.1","7.8","288.9","327.8"
"skywrath_mage","Skywrath Mage","1009","443","566","0.439","14.1","5.0","6.1","10.0","9752.2","34.2","2.5","237.2","283.2"
"slardar","Slardar","32","11","21","0.344","19.4","6.6","6.1","9.0","18383.7","177.4","16.8","410.3","479.1"
"slark","Slark","347","186","161","0.536","20.6","9.6","4.3","8.7","21885.0","232.1","15.2","526.4","578.6"
"sniper","Sniper","49","20","29","0.408","19.3","7.8","4.9","8.6","21053.9","256.1","14.2","502.1","502.3"
"spectre","Spectre","168","75","93","0.446","19.9","8.7","5.2","13.4","21616.3","265.0","16.1","492.9","521.6"
"spirit_breaker","Spirit Breaker","60","31","29","0.517","15.7","4.8","6.8","11.6","11269.7","68.9","2.4","285.0","364.5"
"storm_spirit","Storm Spirit","166","78","88","0.470","20.0","9.4","5.3","9.3","20225.5","221.7","12.8","488.9","550.2"
"sven","Sven","96","49","47","0.510","17.7","6.3","5.3","8.7","17689.6","181.7","10.6","441.4","458.4"
"templar_assassin","Templar Assassin","142","73","69","0.514","20.2","8.2","4.5","6.7","21328.8","236.3","18.7","545.5","582.6"
"terrorblade","Terrorblade","181","86","95","0.475","18.4","5.2","3.8","5.1","23186.0","321.3","11.3","589.0","497.1"
"tidehunter","Tidehunter","613","323","290","0.527","17.5","3.4","4.6","11.4","14272.0","132.6","3.7","350.7","428.8"
"shredder","Timbersaw","151","80","71","0.530","19.6","7.3","5.6","8.2","19063.9","221.8","5.8","452.6","517.3"
"tinker","Tinker","31","9","22","0.290","20.5","10.3","5.6","9.7","22094.7","286.0","8.1","495.4","512.3"
"tiny","Tiny","63","32","31","0.508","20.0","9.1","4.4","8.5","24095.4","299.7","12.1","613.3","576.1"
"treant","Treant Protector","91","51","40","0.560","13.3","1.6","4.8","6.4","8299.7","32.4","2.1","212.0","267.5"
"troll_warlord","Troll Warlord","61","29","32","0.475","18.4","5.3","5.4","7.2","18615.3","212.9","11.7","466.9","488.6"
"tusk","Tusk","31","16","15","0.516","14.7","2.8","5.5","13.5","9336.2","39.0","1.5","234.2","308.7"
"undying","Undying","60","29","31","0.483","14.4","4.4","5.2","12.8","10096.6","65.3","4.1","298.3","344.6"
"ursa","Ursa","13","5","8","0.385","19.2","9.1","4.6","7.5","18487.9","173.5","8.5","466.8","530.9"
"vengefulspirit","Vengeful Spirit","764","437","327","0.572","14.1","2.1","6.5","11.8","8912.2","35.2","2.7","227.2","291.8"
"venomancer","Venomancer","168","98","70","0.583","17.3","3.9","6.7","12.8","15947.1","164.4","6.7","383.1","409.9"
"viper","Viper","387","193","194","0.499","18.4","6.9","4.8","9.3","18059.7","188.8","19.8","449.4","481.5"
"visage","Visage","192","94","98","0.490","15.3","6.2","5.5","8.6","13518.3","99.3","4.6","332.6","339.8"
"warlock","Warlock","20","9","11","0.450","15.7","5.9","5.0","9.3","15652.6","146.3","10.9","387.0","373.7"
"weaver","Weaver","157","67","90","0.427","20.5","8.1","4.2","7.9","22670.1","257.6","14.8","527.2","555.6"
"windrunner","Windranger","57","21","36","0.368","18.8","6.5","4.7","8.5","17907.0","193.2","13.9","404.9","447.1"
"witch_doctor","Witch Doctor","392","190","202","0.485","14.2","3.5","5.8","10.2","9807.9","52.2","3.3","242.8","289.3"
"skeleton_king","Wraith King","191","93","98","0.487","17.9","5.2","4.6","9.6","16987.9","166.8","9.4","423.9","463.5"
"zuus","Zeus","199","113","86","0.568","18.1","7.2","4.7","14.8","15561.5","144.5","3.7","372.1","450.3"